"Date","Price","Open","High","Low","Change %"
"Oct 10, 2017","6.5667","6.6147","6.6165","6.5640","-0.74%"
"Oct 09, 2017","6.6154","6.6505","6.6567","6.6089","-0.54%"
"Oct 06, 2017","6.6514","6.6552","6.6654","6.6460","-0.04%"
"Oct 05, 2017","6.6543","6.6490","6.6592","6.6372","0.09%"
"Oct 04, 2017","6.6486","6.6669","6.6691","6.6380","-0.29%"
"Oct 03, 2017","6.6677","6.6734","6.6914","6.6589","-0.09%"
"Oct 02, 2017","6.6734","6.6480","6.6803","6.6453","0.40%"
"Sep 29, 2017","6.6470","6.6540","6.6758","6.6376","-0.11%"
"Sep 28, 2017","6.6543","6.6391","6.6792","6.6353","0.22%"
"Sep 27, 2017","6.6398","6.6278","6.6505","6.6235","0.18%"
"Sep 26, 2017","6.6281","6.6105","6.6449","6.6055","0.24%"
"Sep 25, 2017","6.6120","6.5797","6.6192","6.5793","0.46%"
"Sep 22, 2017","6.5814","6.5681","6.5870","6.5641","0.20%"
"Sep 21, 2017","6.5682","6.5860","6.6047","6.5579","-0.29%"
"Sep 20, 2017","6.5870","6.5850","6.5973","6.5650","0.04%"
"Sep 19, 2017","6.5843","6.5732","6.5965","6.5691","0.17%"
"Sep 18, 2017","6.5733","6.5477","6.5791","6.5456","0.40%"
"Sep 15, 2017","6.5470","6.5422","6.5523","6.5411","0.06%"
"Sep 14, 2017","6.5428","6.5472","6.5713","6.5421","-0.07%"
"Sep 13, 2017","6.5475","6.5367","6.5492","6.5225","0.19%"
"Sep 12, 2017","6.5351","6.5380","6.5518","6.5315","-0.06%"
"Sep 11, 2017","6.5393","6.5084","6.5407","6.5061","0.56%"
"Sep 08, 2017","6.5030","6.4874","6.5206","6.4441","0.27%"
"Sep 07, 2017","6.4852","6.5408","6.5431","6.4840","-0.87%"
"Sep 06, 2017","6.5419","6.5401","6.5523","6.5327","0.04%"
"Sep 05, 2017","6.5396","6.5285","6.5606","6.5282","0.16%"
"Sep 04, 2017","6.5291","6.5654","6.5678","6.5257","-0.49%"
"Sep 01, 2017","6.5615","6.5942","6.5970","6.5452","-0.52%"
"Aug 31, 2017","6.5956","6.5991","6.6097","6.5923","-0.05%"
"Aug 30, 2017","6.5991","6.6077","6.6138","6.5834","-0.13%"
"Aug 29, 2017","6.6080","6.6182","6.6286","6.5973","-0.15%"
"Aug 28, 2017","6.6182","6.6437","6.6443","6.6167","-0.37%"
"Aug 25, 2017","6.6431","6.6610","6.6654","6.6421","-0.27%"
"Aug 24, 2017","6.6608","6.6612","6.6654","6.6547","-0.03%"
"Aug 23, 2017","6.6627","6.6679","6.6730","6.6613","-0.08%"
"Aug 22, 2017","6.6682","6.6716","6.6753","6.6596","-0.04%"
"Aug 21, 2017","6.6711","6.6815","6.6851","6.6684","-0.16%"
"Aug 18, 2017","6.6819","6.6861","6.6900","6.6778","-0.07%"
"Aug 17, 2017","6.6863","6.6881","6.6897","6.6759","-0.04%"
"Aug 16, 2017","6.6887","6.6960","6.7076","6.6875","-0.11%"
"Aug 15, 2017","6.6962","6.6894","6.7042","6.6847","0.10%"
"Aug 14, 2017","6.6898","6.6749","6.6916","6.6696","0.25%"
"Aug 11, 2017","6.6733","6.6677","6.6967","6.6589","0.09%"
"Aug 10, 2017","6.6671","6.6918","6.6945","6.6662","-0.37%"
"Aug 09, 2017","6.6921","6.7118","6.7192","6.6910","-0.29%"
"Aug 08, 2017","6.7116","6.7315","6.7322","6.7020","-0.28%"
"Aug 07, 2017","6.7306","6.7341","6.7373","6.7255","-0.06%"
"Aug 04, 2017","6.7348","6.7280","6.7368","6.7187","0.08%"
"Aug 03, 2017","6.7295","6.7296","6.7380","6.7261","-0.01%"
"Aug 02, 2017","6.7301","6.7291","6.7351","6.7227","0.01%"
"Aug 01, 2017","6.7296","6.7269","6.7325","6.7163","0.04%"
"Jul 31, 2017","6.7271","6.7350","6.7382","6.7245","-0.16%"
"Jul 28, 2017","6.7379","6.7461","6.7508","6.7351","-0.11%"
"Jul 27, 2017","6.7453","6.7424","6.7473","6.7246","0.03%"
"Jul 26, 2017","6.7432","6.7598","6.7611","6.7413","-0.23%"
"Jul 25, 2017","6.7587","6.7484","6.7602","6.7442","0.13%"
"Jul 24, 2017","6.7496","6.7587","6.7633","6.7441","-0.14%"
"Jul 21, 2017","6.7591","6.7572","6.7671","6.7553","0.04%"
"Jul 20, 2017","6.7561","6.7598","6.7730","6.7533","-0.05%"
"Jul 19, 2017","6.7593","6.7474","6.7599","6.7418","0.17%"
"Jul 18, 2017","6.7480","6.7636","6.7684","6.7423","-0.24%"
"Jul 17, 2017","6.7640","6.7663","6.7734","6.7597","-0.01%"
"Jul 14, 2017","6.7650","6.7822","6.7868","6.7638","-0.25%"
"Jul 13, 2017","6.7818","6.7860","6.7891","6.7734","-0.07%"
"Jul 12, 2017","6.7865","6.8006","6.8019","6.7837","-0.21%"
"Jul 11, 2017","6.8008","6.8060","6.8123","6.7973","-0.08%"
"Jul 10, 2017","6.8060","6.8032","6.8100","6.7968","0.05%"
"Jul 07, 2017","6.8029","6.7992","6.8050","6.7949","0.04%"
"Jul 06, 2017","6.8000","6.7991","6.8066","6.7937","-0.00%"
"Jul 05, 2017","6.8001","6.8057","6.8089","6.7905","-0.09%"
"Jul 04, 2017","6.8065","6.7958","6.8094","6.7943","0.14%"
"Jul 03, 2017","6.7973","6.7812","6.8011","6.7747","0.24%"
"Jun 30, 2017","6.7807","6.7952","6.7982","6.7603","-0.18%"
"Jun 29, 2017","6.7929","6.8041","6.8062","6.7801","-0.16%"
"Jun 28, 2017","6.8037","6.8136","6.8167","6.7961","-0.16%"
"Jun 27, 2017","6.8143","6.8543","6.8593","6.8081","-0.63%"
"Jun 26, 2017","6.8575","6.8398","6.8598","6.8345","0.28%"
"Jun 23, 2017","6.8383","6.8361","6.8450","6.8346","0.02%"
"Jun 22, 2017","6.8372","6.8311","6.8378","6.8260","0.09%"
"Jun 21, 2017","6.8311","6.8237","6.8342","6.8186","0.11%"
"Jun 20, 2017","6.8238","6.8278","6.8384","6.8216","-0.06%"
"Jun 19, 2017","6.8277","6.8114","6.8313","6.8067","0.23%"
"Jun 16, 2017","6.8120","6.8070","6.8345","6.8011","0.07%"
"Jun 15, 2017","6.8071","6.7863","6.8134","6.7801","0.31%"
"Jun 14, 2017","6.7860","6.7860","6.7933","6.7727","-0.04%"
"Jun 13, 2017","6.7888","6.7950","6.7993","6.7869","-0.10%"
"Jun 12, 2017","6.7959","6.7861","6.7993","6.7846","0.14%"
"Jun 09, 2017","6.7862","6.7843","6.7968","6.7823","0.05%"
"Jun 08, 2017","6.7826","6.7745","6.7860","6.7654","0.12%"
"Jun 07, 2017","6.7742","6.7550","6.7818","6.7541","0.28%"
"Jun 06, 2017","6.7555","6.7810","6.7851","6.7543","-0.39%"
"Jun 05, 2017","6.7818","6.7749","6.7886","6.7744","0.11%"
"Jun 02, 2017","6.7744","6.7504","6.7954","6.7492","0.36%"
"Jun 01, 2017","6.7503","6.7458","6.7743","6.7237","0.05%"
"May 31, 2017","6.7467","6.8238","6.8381","6.7427","-1.14%"
"May 30, 2017","6.8246","6.8187","6.8341","6.8183","0.04%"
"May 29, 2017","6.8217","6.8190","6.8281","6.8026","0.01%"
"May 26, 2017","6.8212","6.8494","6.8561","6.8161","-0.41%"
"May 25, 2017","6.8495","6.8760","6.8815","6.8459","-0.35%"
"May 24, 2017","6.8737","6.8789","6.8898","6.8725","-0.10%"
"May 23, 2017","6.8803","6.8781","6.8838","6.8764","0.03%"
"May 22, 2017","6.8784","6.8736","6.8849","6.8735","0.07%"
"May 19, 2017","6.8739","6.8840","6.8920","6.8730","-0.13%"
"May 18, 2017","6.8831","6.8718","6.8889","6.8702","0.18%"
"May 17, 2017","6.8709","6.8755","6.8843","6.8706","-0.07%"
"May 16, 2017","6.8757","6.8908","6.8919","6.8730","-0.23%"
"May 15, 2017","6.8915","6.8974","6.9028","6.8863","-0.09%"
"May 12, 2017","6.8974","6.9033","6.9071","6.8968","-0.10%"
"May 11, 2017","6.9040","6.9135","6.9152","6.9021","-0.14%"
"May 10, 2017","6.9135","6.9154","6.9184","6.9086","-0.01%"
"May 09, 2017","6.9140","6.9090","6.9177","6.9073","0.08%"
"May 08, 2017","6.9088","6.9015","6.9108","6.9003","0.09%"
"May 05, 2017","6.9024","6.8930","6.9081","6.8909","0.14%"
"May 04, 2017","6.8926","6.8947","6.8980","6.8907","-0.03%"
"May 03, 2017","6.8945","6.8877","6.8952","6.8857","0.07%"
"May 02, 2017","6.8894","6.8975","6.9004","6.8882","-0.12%"
"May 01, 2017","6.8980","6.8977","6.9039","6.8958","0.00%"
"Apr 28, 2017","6.8977","6.9021","6.9057","6.8932","-0.07%"
"Apr 27, 2017","6.9023","6.8971","6.9067","6.8971","0.08%"
"Apr 26, 2017","6.8970","6.8889","6.9038","6.8876","0.12%"
"Apr 25, 2017","6.8885","6.8830","6.8909","6.8820","0.07%"
"Apr 24, 2017","6.8837","6.8880","6.8902","6.8772","-0.10%"
"Apr 21, 2017","6.8908","6.8841","6.8935","6.8792","0.09%"
"Apr 20, 2017","6.8848","6.8858","6.8891","6.8796","-0.00%"
"Apr 19, 2017","6.8850","6.8761","6.8868","6.8739","0.14%"
"Apr 18, 2017","6.8756","6.8789","6.8886","6.8739","-0.04%"
"Apr 17, 2017","6.8783","6.8810","6.8843","6.8753","-0.06%"
"Apr 14, 2017","6.8822","6.8853","6.8895","6.8796","-0.05%"
"Apr 13, 2017","6.8853","6.8849","6.8896","6.8693","0.02%"
"Apr 12, 2017","6.8839","6.9006","6.9056","6.8827","-0.24%"
"Apr 11, 2017","6.9008","6.9055","6.9102","6.9001","-0.07%"
"Apr 10, 2017","6.9055","6.8980","6.9147","6.8955","0.09%"
"Apr 07, 2017","6.8991","6.8900","6.9013","6.8888","0.13%"
"Apr 06, 2017","6.8898","6.8822","6.8938","6.8803","0.11%"
"Apr 05, 2017","6.8825","6.8790","6.8880","6.8726","0.05%"
"Apr 04, 2017","6.8788","6.8716","6.8830","6.8704","0.06%"
"Apr 03, 2017","6.8746","6.8719","6.8796","6.8694","0.04%"
"Mar 31, 2017","6.8719","6.8850","6.8921","6.8708","-0.17%"
"Mar 30, 2017","6.8839","6.8680","6.8849","6.8670","0.25%"
"Mar 29, 2017","6.8668","6.8732","6.8785","6.8663","-0.09%"
"Mar 28, 2017","6.8729","6.8555","6.8772","6.8497","0.25%"
"Mar 27, 2017","6.8555","6.8719","6.8724","6.8453","-0.25%"
"Mar 24, 2017","6.8730","6.8704","6.8858","6.8681","0.04%"
"Mar 23, 2017","6.8700","6.8638","6.8768","6.8631","0.09%"
"Mar 22, 2017","6.8639","6.8719","6.8819","6.8621","-0.12%"
"Mar 21, 2017","6.8719","6.8891","6.8967","6.8682","-0.25%"
"Mar 20, 2017","6.8890","6.8872","6.8994","6.8828","0.03%"
"Mar 17, 2017","6.8867","6.8712","6.8957","6.8693","0.24%"
"Mar 16, 2017","6.8703","6.8477","6.8784","6.8449","0.33%"
"Mar 15, 2017","6.8480","6.9009","6.9039","6.8455","-0.77%"
"Mar 14, 2017","6.9008","6.8961","6.9093","6.8937","0.07%"
"Mar 13, 2017","6.8963","6.8856","6.8974","6.8846","0.15%"
"Mar 10, 2017","6.8858","6.9025","6.9145","6.8831","-0.26%"
"Mar 09, 2017","6.9040","6.9177","6.9329","6.8941","-0.18%"
"Mar 08, 2017","6.9162","6.8936","6.9215","6.8914","0.32%"
"Mar 07, 2017","6.8939","6.9006","6.9044","6.8890","-0.11%"
"Mar 06, 2017","6.9012","6.8957","6.9027","6.8868","0.07%"
"Mar 03, 2017","6.8966","6.8845","6.9077","6.8829","0.16%"
"Mar 02, 2017","6.8853","6.8678","6.8890","6.8670","0.24%"
"Mar 01, 2017","6.8689","6.8552","6.8781","6.8544","0.20%"
"Feb 28, 2017","6.8554","6.8620","6.8648","6.8453","-0.10%"
"Feb 27, 2017","6.8620","6.8535","6.8654","6.8509","0.12%"
"Feb 24, 2017","6.8536","6.8495","6.8590","6.8471","0.08%"
"Feb 23, 2017","6.8484","6.8565","6.8664","6.8441","-0.13%"
"Feb 22, 2017","6.8574","6.8643","6.8692","6.8545","-0.09%"
"Feb 21, 2017","6.8636","6.8565","6.8705","6.8542","0.09%"
"Feb 20, 2017","6.8575","6.8524","6.8640","6.8426","0.07%"
"Feb 17, 2017","6.8524","6.8499","6.8573","6.8451","0.04%"
"Feb 16, 2017","6.8494","6.8421","6.8563","6.8414","0.11%"
"Feb 15, 2017","6.8419","6.8580","6.8655","6.8412","-0.23%"
"Feb 14, 2017","6.8579","6.8736","6.8784","6.8472","-0.22%"
"Feb 13, 2017","6.8728","6.8640","6.8848","6.8605","0.11%"
"Feb 10, 2017","6.8655","6.8637","6.8735","6.8596","0.03%"
"Feb 09, 2017","6.8636","6.8418","6.8648","6.8405","0.31%"
"Feb 08, 2017","6.8424","6.8347","6.8578","6.8324","0.10%"
"Feb 07, 2017","6.8353","6.8003","6.8403","6.7949","0.51%"
"Feb 06, 2017","6.8003","6.8015","6.8151","6.7969","-0.01%"
"Feb 03, 2017","6.8010","6.8093","6.8278","6.7923","-0.13%"
"Feb 02, 2017","6.8099","6.8271","6.8338","6.7999","-0.28%"
"Feb 01, 2017","6.8291","6.8285","6.8406","6.8262","0.02%"
"Jan 31, 2017","6.8274","6.8567","6.8704","6.8209","-0.45%"
"Jan 30, 2017","6.8581","6.8699","6.8738","6.8525","-0.15%"
"Jan 27, 2017","6.8684","6.8486","6.8780","6.8460","0.26%"
"Jan 26, 2017","6.8503","6.8265","6.8535","6.8133","0.35%"
"Jan 25, 2017","6.8265","6.8222","6.8404","6.8192","0.05%"
"Jan 24, 2017","6.8231","6.8102","6.8288","6.8038","0.18%"
